Equipe,Absence 1,Absence 2,Absence 3,Absence 4,Style de jeu,Lien calendrier,Rang equipe,Ligue,Classement reel,Points finaux
Real Sociedad,Merino,Kubo,Mendez,Alexander Sorloth,Build up,https://fbref.com/fr/equipes/e31d1cd9/2022-2023/Statistiques-Real-Sociedad#all_matchlogs,1,ES,4,71
Sevilla,Bade,Acuna,Gueye,Ocampos/Suso,Maintenance,https://fbref.com/fr/equipes/ad2be733/2022-2023/Statistiques-Sevilla#all_matchlogs,2,ES,12,49
Osasuna,David Garcia,Torro,Moi Gomez,Budimir,Counter Attack,https://fbref.com/fr/equipes/03c57e2b/2022-2023/Statistiques-Osasuna#all_matchlogs,2,ES,7,53
Athletic Club,Nico Williams,Inaki Williams,Martinez,Berchiche,Direct,https://fbref.com/fr/equipes/2b390eca/2022-2023/Statistiques-Athletic-Club#all_matchlogs,2,ES,8,51
Atlético Madrid,Griezmann,Gimenez,Reinildo,Carrasco,Counter Attack,https://fbref.com/fr/equipes/db3b9613/2022-2023/Statistiques-Atletico-Madrid#all_matchlogs,1,ES,3,77
Girona,Alex Garcia,Tsygankov,Martinez,Castellanos,Counter Attack,https://fbref.com/fr/equipes/9024a00a/2022-2023/Statistiques-Girona#all_matchlogs,3,ES,19,35
Barcelona,Lewandowski,Pedri,De Jong,Dembele/Raphina,Maintenance,https://fbref.com/fr/equipes/206d90db/2022-2023/Statistiques-Barcelona#all_matchlogs,1,ES,1,88
Almería,,,,,Counter Attack,,3,ES,100,0
Alavés,Joselu,Miazga,Loum,Duarte,Counter Attack,,3,ES,20,0
Villarreal,Foyth,Parejo,Moreno,Pino/Chukwueze,Build up,https://fbref.com/fr/equipes/2a8183b3/2022-2023/Statistiques-Villarreal#all_matchlogs,1,ES,5,64
Cádiz,Escalante,Carcelen,Espino,Sobrino,Counter Attack,https://fbref.com/fr/equipes/ee7c297c/2022-2023/Statistiques-Cadiz#all_matchlogs,3,ES,14,42
Espanyol,Joselu,Darder,Souza,Souza,Direct,https://fbref.com/fr/equipes/a8661628/2022-2023/Statistiques-Espanyol#all_matchlogs,3,ES,19,37
Granada,Milla,Suarez,Machis,Molina,Counter Attack,,2,ES,18,38
Celta Vigo,Galan,Aspas,Veiga,Nunez,Build up,https://fbref.com/fr/equipes/f25da7fb/2022-2023/Statistiques-Celta-Vigo#all_matchlogs,2,ES,13,43
Mallorca,Lee,Muriqi,Raillo,Maffeo,Counter Attack,https://fbref.com/fr/equipes/2aa12281/2022-2023/Statistiques-Mallorca#all_matchlogs,3,ES,9,50
Huesca,,,,,Counter Attack,,3,ES,100,0
Real Betis,Guido,Perez,Moreno/Miranda,Canales/Fekir,Build up,https://fbref.com/fr/equipes/fc536746/2022-2023/Statistiques-Real-Betis#all_matchlogs,2,ES,6,60
